# PLAN_BEAT_TW_V2 QG-4 ratchet baseline — pinned 2026-06-13 (darwin laptop,
# post Wave-1 ships: §1.2 intersectAttrs + §1.1b GC backoff + §1.7 chain guard).
# Regenerate: make -C src/libexpr-v3/bench pin-seven-rows
# Guard:      make -C src/libexpr-v3/bench ratchet-check   (>3% CPU / >5% arena = fail)
# CPU = min user over 3 (NIX_V3_DIRECT_EVAL=1); arena = NIX_VM_STATS v3_arena MB
# (deterministic RSS proxy; laptop maxRSS is noise per QG-2 — darwin-4 is the
# canonical RSS bar). Every row byte-identical to TW.
# workload	v3_cpu_s	tw_cpu_s	ratio	v3_arena_mb	identical
attrNames	0.26	0.56	0.46	83.9	yes
fib	4.68	3.41	1.37	16.8	yes
foldl	1.8	0.57	3.16	268.4	yes
hello	0.86	0.67	1.28	167.8	yes
git	1.45	0.94	1.54	234.9	yes
firefox	3.98	1.67	2.38	503.3	yes
M5	19.23	8.34	2.31	2147.5	yes
